ID;NL;FR;EXTRA;TYPE;PRIORITE;Frequence
B1;Hallo / Dag;Bonjour / Salut;Salutation de base;PHRASE;1;4.82
B2;Hoe gaat het?;Comment ça va ?;Social;PHRASE;1;5.89
B3;Ik ben;Je suis...;Se présenter;PHRASE;1;6.23
B4;Mijn naam is;Mon nom est...;Se présenter;PHRASE;1;5.6
B5;Ik kom uit;Je viens de...;Origine;PHRASE;1;5.57
B6;Hoe heet je?;Comment t'appelles-tu ?;Question;PHRASE;1;4.99
B7;Ja;Oui;Basique;MOT;1;5.89
B8;Nee;Non;Basique;MOT;1;5.63
B9;Alstublieft;S'il vous plaît;Politesse;MOT;1;4.2
B10;Bedankt;Merci;Politesse;MOT;1;5.29
B11;Spreekt u Frans?;Parlez-vous français ?;Survie;PHRASE;1;4.56
B12;Ik begrijp het niet;Je ne comprends pas;Survie;PHRASE;1;4.76
B13;Wat is je Instagram?;C'est quoi ton Instagram ?;Réseaux;PHRASE;1;4.11
B14;Ik woon in;J'habite à...;Localisation;PHRASE;1;4.65
B15;Tot ziens;Au revoir;Salutation;MOT;1;3.56
B16;Hulp;Aide;Urgence;MOT;1;5.3
B17;Waar is...?;Où est...?;Direction;PHRASE;1;6.17
B18;Hoeveel kost het?;Combien ça coûte ?;Argent;PHRASE;1;4.72
B19;Lekker;Bon / Délicieux;Nourriture;MOT;1;5.35
B20;Vandaag;Aujourd'hui;Temps;MOT;1;5.65
