id;fr;nl;Frequence
W1;l'employeur;werkgever;4.33
W2;convaincu;overtuigd;4.46
W3;télétravail;telewerken;1.52
W4;compatible / adapté;geschikt;4.55
W5;l'avantage;voordeel;4.59
W6;stressant;stresserend;2.16
W7;consulter / se concerter;overleggen;3.87
W8;le logement étudiant (kot);kot;3.0
W9;augmenter;stijgen;4.21
W10;partager;delen;5.29
W11;comparer;vergelijken;4.43
W12;l'emballage;verpakking;3.72
W13;trier;sorteren;3.3
W14;recycler;recycleren;2.33
W15;le geste;gebaar;3.95
W16;évidemment;vanzelfsprekend;4.04
W17;abandonner / laisser derrière;achterlaten;3.89
W18;les déchets;afval;4.46
W19;récupérer;gerecupereerd;2.22
W20;une bonne œuvre / cause;goed doel;5.16
W21;louer (donner en location);verhuren;3.55
W22;le magasin de seconde main;kringwinkel;1.2
W23;embaucher / mettre au travail;tewerkstellen;1.76
W24;opportunité / chance;kans;5.39
W25;utile;nuttig;4.29
W26;résoudre;oplossen;4.61
W27;récompenser;belonen;3.74
W28;adapter;aanpassen;4.28
W29;le comportement;gedrag;4.87
W30;éviter;vermijden;4.29
W31;l'heure de pointe;spitsuur;2.68
W32;l'embouteillage;file;4.38
W33;se plaindre;klagen;4.46
W34;nuisance sonore;geluidoverlast;0.0
W35;s'habituer à;wennen;4.24
W36;élargir / étendre;uitbreiden;3.96
W37;le navetteur;pendelaar;1.69
W38;pur / propre;zuiver;3.98
W39;sain;gezond;4.71
W40;diminuer;dalen;4.06
W41;exigeant;veeleisend;3.04
W42;le racisme;racisme;4.34
W43;la comptabilité;boekhouding;3.57
W44;l'impôt;belasting;4.39
W45;le bénéfice;winst;4.63
