id;fr;nl
L1_1;As-tu pu choisir quel jour tu travailles à la maison ?;Heb je kunnen kiezen op welke dag je thuiswerk?
L1_2;Cet employeur est convaincu que de plus en plus de belges travaillent de temps en temps un jour à la maison;Deze werkgever is ervan overtuigd dat steeds meer Belgen af en toe dagje thuis werken
L1_3;Cet employé pense que son boulot n’est pas compatible avec le télétravail;Deze werknemer denkt dat zijn job daar niet geschikt voor is
L1_4;Le grand avantage est que travailler à domicile est beaucoup moins stressant;Het grote voordeel is dat thuiswerken veer minder stresserend is
L1_5;Il est clair qu’il est de temps en temps nécessaire de se concentrer avec les collègues;Het is duidelijk dat het af en toe nodig is om met de collega’s te overleggen
L1_6;Il ressort d’une étude récente que le nombre de kots de luxe à augmenté;Het blijkt uit een recente studie dat het aantal luxekoten is gestegen
L1_7;Elle devra partager la cuisine;Ze zal de keuken moeten delen
L1_8;Si tu compares cette chambre avec les kots d’avant, le contraste est grand;Als je deze kamer met de kote, van vroeger vergelijkt, is het contrast groot
L1_9;Le prix des emballages dépend des matériaux dont ils sont faits;De prijs van de verpakkingen hangt af van de materialen waaruit ze gemaakt zijn
L1_10;La plupart des belges sont prêts à trier plus et à recycler;De meeste belgen zijn bereid om meer te sorteren en te recycleren
L1_11;Quand vont-ils décider si ce nouveau geste sera utilisé en langues des signes ?;Wanner gaan ze beslissen of dit nieuwe gebaar in gebarentaal gebruikt zal worden?
L1_12;Il est évident que tout le monde ne communique pas de la même façon;Het is vanzelfsprekend dat niet iedereen op dezelfde manier communiceert
L2_1;Tous les festivaliers devaient être partis pour midi;Alle festivalgangers moesten tegen twaalf uur vertrokken zijn
L2_2;Comme chaque année, beaucoup de trucs sont abandonnés sur le terrain;Zoals ieder jaar wordener een aantal spullen op het terrein achtergelaten
L2_3;Les festivaliers laissent aussi souvent leurs tentes;De festivalgangers laten ook dikwijls/vaak hun tenten achter
L2_4;Cela signifie beaucoup de déchets qui doivent être collectés;Dat betekent veel afval dat verzameld/ingezameld moet worden
L2_5;Une partie des objets est récupérée et donnée à une bonne œuvre;Een deel van de spullen wordt gerecupereerd en gegeven aan een goed doel
L2_6;Il est important de bien trier tous les déchets qui ont été ramassés;Het is belangrijk al het/ de afval dat/die ingezameld is goed te sorteren
L2_7;Leur intention est de louer aux festivaliers les affaires vendues par le magasin d'occasion;Hun bedoeling is de spullen die vroeger door de kringwinkel verkocht waren te verhuren
L2_8;Les magasins de seconde main embauchent des jeunes qui ont moins d’opportunités;De kringwinkels tewerkstellen jongeren die minder kansen krijgen
L2_9;Sais-tu s'il a trouvé ce travail grâce au projet d’embauche ?;Weet je of hij dit werk dankzij het tewerkstellingsproject heeft gevonden?
L2_10;La plupart des jeunes ont la possibilité d’apprendre des choses utiles pendant les vacances;De meeste jongeren hebben de mogelijkheid om tijdens de vakantie nuttige dingen te leren
L3_1;Je ne sais pas s'ils ont une proposition pour résoudre ce problème;Ik weet niet of ze een voorstel hebben om dit problem op te lossen
L3_2;Grâce à ce projet pilote, les gens seront récompensés;Dankzij dit proefproject zullen de mensen beloond worden
L3_3;Ce système est déjà appliqué avec succès dans ce pays;Dit project wordt in dat land al met succes toegepast
L3_4;Es-tu prêt à adapter ton comportement ?;Ben je bereid om je gedrag aan te passen
L3_5;Les files sont devenues plus courtes parce que les gens ont évité les heures de pointes;De files zijn korter geworden omdat de mensen het spitsuur hebben vermeden
L3_6;La plupart du temps, on perd beaucoup de temps dans les bouchons;Meestal wordt er veel tijd in de file verloren
L3_7;Cela signifie que beaucoup de stress pourrait être évité;Dat betekent dat veel stress vermeden kan worden
L3_8;Connais-tu le riverain qui se plaint de nuisance sonores ?;Ken je de buurtbewoner die over geluidoverlast klaagt?
L3_9;Tu n’as pas le choix tu devras t’y habituer;Je hebt geen keuze : je zal er moeten aan wennen
L3_10;Le ministre va probablement essayer d’élargir ce système;De minister gaat heel waarschijnlijk proberen om dit systeem uit te breiden
L3_11;Le principe de la taxe au kilomètre est que tu paies par kilomètres parcouru;Het principe van kilometerheffing is dat je betaalt per kilometer die je aflegt
L3_12;Ce navetteur croit que la taxe au kilomètre ne résoudra pas les files matinales;Deze pendelaar gelooft dat rekeningrijden de ochtendspits niet zal oplossen
L3_13;Il a besoin de ta voiture car il est attendu chez ses clients;Hij heeft zijn auto nodig want hij wordt bij zijn klanten verwacht
L3_14;Si le ministre instaure la taxe au kilomètre, elle devra remplacer les autres taxes;Als de minister het rekeningrijden invoert, zal het alle andere verkeersbelastingen vervangen
L3_15;Il y a beaucoup de doutes à propos de cela;Daar is veel twijfel over
L3_16;Il envisage ce projet mais rien n’est encore clair;Hij overweegt dit project maar er is nog niets duidelijk
L4_1;Il lui a déjà souvent rendu service, par le passé;Hij heeft haar in het verleden al vaak een dienst bewezen
L4_2;Que l’eau puisse être trop pure pour être saine est nouveau pour moi;Dat water ook te zuiver kan zijn om gezond te zijn, is nieuw voor mij
L4_3;C’est dur à avaler / Pas évident à croire;Dat is even slikken
L4_4;Ce sont des personnes qui ne parviennent pas à trouver du travail sur le marché ordinaire;Het zijn vooral mensen die geen werk kunnen vinden op de gewone arbeidsmarkt
L4_5;La clientèle a beaucoup augmenté parce que l’intérêt est grand;Het cliëntel is enorm toegenomen omdat de belangstelling groot is
L4_6;Les ressourceries ont besoin de plus de travailleurs;De kringloopwinkels hebben meer werknemers nodig
L4_7;Nous avons dû reculer l’horloge d’une heure le weekend dernier;We hebben verleden weekend de klok een uur achteruit moeten draaien
L4_8;Beaucoup d’européens ont exprimé le souhait de ne plus changer l’heure;Veel Europeanen hebben de wens uitgesproken om de tijd niet meer te veranderen
L4_9;Chaque état membre a le choix de garder l’heure d’été ou d’hiver;Iedere lidstaat heeft de keuze om te beslissen of het de zomer – of wintertijd wil houden
L4_10;Il vaudrait mieux rester à l’heure d’hiver pour notre rythme biologique;Zou het beter zijn om in de wintertijd te blijven voor ons biologische ritme
L4_11;Cela ne m’étonnerait pas que l’on en arrive finalement à un compromis;Het zou me niet verbazen dat men uiteindelijk tot een compromis komt
L4_12;Les cercles étudiants ont organisé une soirée sans alcool;De studentenkringen hebben een alcoholvrije avond georganiseerd
L4_13;La police a collaboré à l’organisation;De politie heeft meegewerkt aan de organisatie
L5_1;Beaucoup de personnes ont l’habitude de faire défiler la publicité en avance rapide;Veel mensen hebben de gewoonte om de reclame door te spoelen
L5_2;Faire défiler la publicité est uniquement possible si tu regardes en différé;De reclame doorspoelen is alleen mogelijk als je uitgesteld kijkt
L5_3;Si les consommateurs ne regardent plus la publicité, les annonceurs ne paieront plus;Als de consumenten niet meer naar de reclame kijken, zullen de adverteerders niet meer betalen
L5_4;Les chaînes commerciales sont dépendantes des revenus de la publicité;De commerciële zenders zijn afhankelijk van de reclame-inkomsten
L5_5;Les blocs publicitaires seront plus ciblés à l’avenir;De kortere reclameblokken zullen in de toekomst gerichter zijn
L5_6;De plus en plus de belges utilisent ce programme lorsqu’ils surfent;Steeds meer belgen gebruiken dit programma als ze op het internet surfen
L5_7;Selon une enquête, il s’agirait d’un grand nombre de concitoyens;Volgens een onderzoek zou het gaan om een groot aantal landgenoten
L5_8;Le système fait en sorte que tu ne voies plus de publicité;Het systeem zorgt ervoor dat je geen reclame meer ziet
L5_9;Les sites qui tirent leurs revenus des annonces se sentent menacés;De websites die hun inkomsten uit advertenties halen voelen zich bedreigd
L5_10;Il ne sera plus possible d’offrir des informations gratuitement;In die omstandigheden zal het niet meer mogelijk zijn om gratis nieuws aan te bieden
L5_11;Les utilisateurs doivent pouvoir surfer sans être dérangés;De gebruikers moeten ongestoord kunnen surfen
L5_12;En réalité, l’utilisateur doit avoir le choix;In werkelijkheid moet de gebruiker de keuze krijgen
L5_13;Le spectateur se demande s’il verra de telles annonces;De kijker vraagt zich af of hij zulke advertenties zal zien
L5_14;Il est sûr qu’il faudra payer pour recevoir un meilleur contenu;Hij is er zeker van dat er betaald zal moeten worden om een betere inhoud te krijgen
L5_15;Ces garçons ont développé un nouveau modèle technologique;Het is waar dat die jongens een nieuw technologisch model hebben ontwikkeld
L5_16;Les jeunes doivent se rendre compte de ce qu’ils sont en train de faire;De jongeren moeten heel goed beseffen wat ze aan het doen zijn
L5_17;Il n’y aura plus rien de disponible gratuitement;Er zal niets meer gratis beschikbaar zijn
L6_1;Je ne comprends pas pourquoi les subsides baissent autant;Ik begrijp niet waarom de subsidies zoveel dalen
L6_2;Certains secteurs recevront plus de soutien qu’avant;Op termijn zullen sommige sectoren meer steun krijgen dan vroeger
L6_3;Les chinois fêtent la fête des célibataires le 11 novembre;Wist je dat chinezen vrijgezellendag vieren op de elfde dag van de elfde maand
L6_4;Ils ont quand même commandé quelque chose grâce aux remises;Omdat ze bijkomende kortingen hebben gekregen, hebben ze toch iets besteld
L6_5;On attend des jeunes qu'ils aient un boulot avant trente ans;Er wordt van de jongeren verwacht dat ze voor hun dertigste een job hebben
L6_6;À cause de son agenda trop rempli, il est trop exigeant;Omwille van zijn uitpuillende agenda is hij misschien te veeleisend
L6_7;Je suis content que l’on fasse enfin quelque chose contre le racisme;Ik ben blij dat er uiteindelijk iets wordt gedaan tegen het racisme
L6_8;J'espère que tout le monde pourra vivre sa passion sans être discriminé;Ik hoop dat iedereen zijn passie zou kunnen beleven zonder gediscrimineerd te worden
L7_1;C’est dans ce bureau que la comptabilité est tenue;Het is in dit kantoor dat de boekhouding wordt gehouden
L7_2;L’argent est viré vers l’étranger pour éluder les impôts;Het geld wordt naar het buitenland overgeschreven om de belastingen te ontwijken
L7_3;Cette filiale profite de la déduction des intérêts notionnels;Deze vestiging geniet van de notionele intrestaftrek
L7_4;Il ne doute pas que ce soit légal mais il trouve que ce n’est pas juste;Hij twijfelt er niet aan dat het wettelijk is maar hij vindt dat het niet eerlijk is
L7_5;Il attend des entreprises qu’elles apportent leur contribution à la société;Hij verwacht van bedrijven dat ze hun bijdragen aan de samenleving
L7_6;Il y a énormément de gens qui veulent travailler comme collaborateur;Er zijn heel veel mensen die als medewerker aan de slag willen
L7_7;Je viens voir s’il y a un job approprié pour moi;Ik kom kijken of er voor mij een geschikte job is
L7_8;Tout le monde recevra une formation et devra travailler dur;Iedereen zal een opleiding krijgen en hard moeten werken
L7_9;Il est important de travailler avec plaisir;Het is belangrijk met plezier te werken
L7_10;C’est différent pour tout le monde;Het is voor iedereen verschillend
L7_11;Chaque année, 2000 nouveaux produits sont créés;Ieder jaar worden er 2000 nieuwe producten gecreëerd
L7_12;Nous offrons une solution en fabriquant des produits utiles;Wij bieden een oplossing door producten te maken die problemen oplossen
L7_13;Cela n’a pas de sens de faire de grands meubles si les espaces sont petits;Het heeft geen zin om grote meubels te maken als de ruimtes klein zijn
L7_14;Tous les appareils doivent se trouver dans ce petit espace;Al de keukentoestellen moeten in deze kleine ruimte staan
L7_15;Lorsque tu as rassemblé l’information, tu peux commencer à travailler;Als je al de informatie verzameld hebt, kan je beginnen te werken
