id;fr;nl;freq
VERBES_NL_0;offrir / proposer;aanbieden;4.44
VERBES_NL_1;arrêter / maintenir;aanhouden;3.81
VERBES_NL_2;arriver;aankomen;4.3
VERBES_NL_3;annoncer / s'inscrire;aanmelden;4.34
VERBES_NL_4;accepter / engager;aannemen;4.28
VERBES_NL_5;raccorder / s'affilier;aansluiten;4.07
VERBES_NL_6;démontrer / prouver;aantonen;3.8
VERBES_NL_7;accepter;aanvaarden;3.94
VERBES_NL_8;être présent;aanwezig zijn;5.09
VERBES_NL_9;hésiter;aarzelen;3.19
VERBES_NL_10;respirer;ademen;3.9
VERBES_NL_11;dépendre (de);afhangen (van);3.23
VERBES_NL_12;déposer / passer (un examen);afleggen;3.98
VERBES_NL_13;diminuer / prélever;afnemen;4.06
VERBES_NL_14;fermer / conclure;afsluiten;4.31
VERBES_NL_15;répondre;antwoorden;4.64
VERBES_NL_16;travailler;arbeiden;1.82
VERBES_NL_17;offrir / proposer;aanbieden;4.44
VERBES_NL_18;arrêter / maintenir;aanhouden;3.81
VERBES_NL_19;arriver;aankomen;4.3
VERBES_NL_20;annoncer / s'inscrire;aanmelden;4.34
VERBES_NL_21;accepter / engager;aannemen;4.28
VERBES_NL_22;raccorder / s'affilier;aansluiten;4.07
VERBES_NL_23;démontrer / prouver;aantonen;3.8
VERBES_NL_24;accepter;aanvaarden;3.94
VERBES_NL_25;être présent;aanwezig zijn;5.09
VERBES_NL_26;hésiter;aarzelen;3.19
VERBES_NL_27;respirer;ademen;3.9
VERBES_NL_28;dépendre (de);afhangen (van);3.23
VERBES_NL_29;déposer / passer (un examen);afleggen;3.98
VERBES_NL_30;diminuer / prélever;afnemen;4.06
VERBES_NL_31;fermer / conclure;afsluiten;4.31
VERBES_NL_32;répondre;antwoorden;4.64
VERBES_NL_33;travailler;arbeiden;1.82
VERBES_NL_34;cuire;bakken;4.21
VERBES_NL_35;s'élever à (montant);bedragen;3.86
VERBES_NL_36;vouloir dire / viser;bedoelen;3.83
VERBES_NL_37;commencer;beginnen;5.33
VERBES_NL_38;comprendre;begrijpen;4.96
VERBES_NL_39;traiter / manipuler;behandelen;4.53
VERBES_NL_40;gérer;beheren;3.91
VERBES_NL_41;appartenir (à);behoren (tot);4.5
VERBES_NL_42;regarder / examiner;bekijken;4.84
VERBES_NL_43;critiquer;bekritiseren;3.26
VERBES_NL_44;s'intéresser (à);belangstellen (in);0.0
VERBES_NL_45;promettre;beloven;3.94
VERBES_NL_46;priver de / couper;benemen;1.99
VERBES_NL_47;juger / évaluer;beoordelen;4.16
VERBES_NL_48;déterminer;bepalen;4.65
VERBES_NL_49;se limiter;beperken (zich);4.26
VERBES_NL_50;considérer;beschouwen;4.07
VERBES_NL_51;décrire;beschrijven;4.2
VERBES_NL_52;décider / conclure;besluiten;4.3
VERBES_NL_53;exister;bestaan;5.16
VERBES_NL_54;consacrer (temps, argent);besteden;4.32
VERBES_NL_55;commander;bestellen;4.56
VERBES_NL_56;signifier;betekenen;4.64
VERBES_NL_57;concerner;betreffen;3.59
VERBES_NL_58;avoir confiance;betrouwen;1.8
VERBES_NL_59;contenir;bevatten;4.52
VERBES_NL_60;confirmer;bevestigen;4.3
VERBES_NL_61;se trouver;bevinden (zich);4.49
VERBES_NL_62;conserver / garder;bewaren;4.3
VERBES_NL_63;bouger;bewegen;4.57
VERBES_NL_64;prouver;bewijzen;4.65
VERBES_NL_65;posséder;bezitten;4.04
VERBES_NL_66;visiter;bezoeken;4.76
VERBES_NL_67;économiser;bezuinigen;3.4
VERBES_NL_68;prier;bidden;4.33
VERBES_NL_69;offrir;bieden;4.95
VERBES_NL_70;mordre;bijten;3.86
VERBES_NL_71;lier / attacher;binden;3.88
VERBES_NL_72;apparaître / s'avérer;blijken;4.39
VERBES_NL_73;rester;blijven;5.66
VERBES_NL_74;fleurir;bloeien;3.48
VERBES_NL_75;réserver / enregistrer;boeken;5.14
VERBES_NL_76;bâtir / construire;bouwen;4.95
VERBES_NL_77;brûler;branden;4.32
VERBES_NL_78;casser;breken;4.45
VERBES_NL_79;apporter / amener;brengen;5.39
VERBES_NL_80;courber / plier;buigen;3.86
VERBES_NL_81;vérifier;checken;3.98
VERBES_NL_82;conclure;concluderen;3.5
VERBES_NL_83;contrôler;controleren;4.61
VERBES_NL_84;créer;creëren;4.58
VERBES_NL_85;danser;dansen;4.69
VERBES_NL_86;remercier;danken;4.26
VERBES_NL_87;participer (à);deelnemen (aan);4.4
VERBES_NL_88;partager / diviser;delen;5.29
VERBES_NL_89;penser;denken;5.5
VERBES_NL_90;servir;dienen;4.69
VERBES_NL_91;faire;doen;6.13
VERBES_NL_92;continuer;doorgaan;4.61
VERBES_NL_93;parcourir / continuer;doorlopen;4.02
VERBES_NL_94;porter;dragen;5.01
VERBES_NL_95;flotter / pousser;drijven;4.05
VERBES_NL_96;boire;drinken;4.93
VERBES_NL_97;rêver;dromen;4.73
VERBES_NL_98;appuyer / presser;drukken;4.39
VERBES_NL_99;oser;durven;4.32
VERBES_NL_100;durer;duren;4.62
VERBES_NL_101;forcer / contraindre;dwingen;4.18
VERBES_NL_102;exiger;eisen;4.77
VERBES_NL_103;finir / se terminer;eindigen;4.19
VERBES_NL_104;expérimenter / ressentir;ervaren;4.71
VERBES_NL_105;manger;eten;5.51
VERBES_NL_106;faire du vélo;fietsen;4.6
VERBES_NL_107;aller;gaan;6.18
VERBES_NL_108;utiliser;gebruiken;5.47
VERBES_NL_109;se passer / arriver;gebeuren;5.03
VERBES_NL_110;croire;geloven;4.99
VERBES_NL_111;valoir / être d'application;gelden;4.29
VERBES_NL_112;profiter / jouir (de);genieten (van);4.99
VERBES_NL_113;donner;geven;5.75
VERBES_NL_114;verser;gieten;3.6
VERBES_NL_115;glisser;glijden;3.58
VERBES_NL_116;jeter;gooien;4.61
VERBES_NL_117;saisir;grijpen;4.15
VERBES_NL_118;grandir / croître;groeien;4.63
VERBES_NL_119;saluer;groeten;4.23
VERBES_NL_120;chercher / obtenir;halen;5.32
VERBES_NL_121;pendre / être accroché;hangen;4.69
VERBES_NL_122;avoir;hebben;6.49
VERBES_NL_123;aider;helpen;5.5
VERBES_NL_124;se souvenir;herinneren (zich);4.63
VERBES_NL_125;réparer / se rétablir;herstellen;4.5
VERBES_NL_126;s'appeler;heten;4.25
VERBES_NL_127;tenir / garder;houden;5.67
VERBES_NL_128;entendre;horen;5.38
VERBES_NL_129;espérer;hopen;4.9
VERBES_NL_130;louer (prendre en location);huren;4.19
VERBES_NL_131;déposer / présenter;indienen;4.08
VERBES_NL_132;informer;informeren;4.31
VERBES_NL_133;entrer / accepter;ingaan;4.03
VERBES_NL_134;contenir / retenir;inhouden;3.8
VERBES_NL_135;aménager / organiser;inrichten;3.58
VERBES_NL_136;établir / régler;instellen;4.1
VERBES_NL_137;introduire / importer;invoeren;3.98
VERBES_NL_138;remplir (formulaire);invullen;4.08
VERBES_NL_139;comprendre / consulter;inzien;4.12
VERBES_NL_140;chasser;jagen;4.16
VERBES_NL_141;pousser des cris de joie;juichen;3.79
VERBES_NL_142;jouer aux cartes;kaarten;4.71
VERBES_NL_143;camper;kamperen;3.92
VERBES_NL_144;connaître;kennen;5.08
VERBES_NL_145;tourner / retourner;keren;4.8
VERBES_NL_146;choisir;kiezen;5.07
VERBES_NL_147;regarder;kijken;5.58
VERBES_NL_148;se plaindre;klagen;4.46
VERBES_NL_149;habiller;kleden;3.74
VERBES_NL_150;grimper;klimmen;4.03
VERBES_NL_151;frapper / battre;kloppen;4.22
VERBES_NL_152;cuisiner / bouillir;koken;4.6
VERBES_NL_153;venir;komen;5.95
VERBES_NL_154;acheter;kopen;5.21
VERBES_NL_155;coûter;kosten;4.94
VERBES_NL_156;recevoir;krijgen;5.72
VERBES_NL_157;croiser;kruisen;3.53
VERBES_NL_158;pouvoir (capacité);kunnen;6.26
VERBES_NL_159;embrasser;kussen;4.27
VERBES_NL_160;rire;lachen;4.76
VERBES_NL_161;charger;laden;4.29
VERBES_NL_162;laisser;laten;5.88
VERBES_NL_163;vivre (être en vie);leeft;4.83
VERBES_NL_164;mener / conduire;leiden;5.16
VERBES_NL_165;emprunter / prêter;lenen;4.32
VERBES_NL_166;apprendre / enseigner;leren;5.41
VERBES_NL_167;faire attention (à);letten (op);4.35
VERBES_NL_168;lire;lezen;5.32
VERBES_NL_169;livrer / fournir;leveren;4.68
VERBES_NL_170;poser / mettre;leggen;5.0
VERBES_NL_171;être couché / se trouver;liggen;5.27
VERBES_NL_172;souffrir;lijden;4.51
VERBES_NL_173;paraître / ressembler;lijken;4.91
VERBES_NL_174;marcher / courir;lopen;5.34
VERBES_NL_175;écouter;luisteren;4.9
VERBES_NL_176;sonner;luiden;3.63
VERBES_NL_177;faire / fabriquer;maken;6.1
VERBES_NL_178;vivre / expérimenter;meemaken;4.02
