id;fr;nl;Frequence
L1_1;As-tu pu choisir quel jour tu travailles à la maison ?;Heb je kunnen kiezen op welke dag je thuiswerk?;2.68
L1_2;Cet employeur est convaincu que de plus en plus de belges travaillent de temps en temps un jour à la maison;Deze werkgever is ervan overtuigd dat steeds meer Belgen af en toe dagje thuis werken;3.58
L1_3;Cet employé pense que son boulot n’est pas compatible avec le télétravail;Deze werknemer denkt dat zijn job daar niet geschikt voor is;3.84
L1_4;Le grand avantage est que travailler à domicile est beaucoup moins stressant;Het grote voordeel is dat thuiswerken veer minder stresserend is;2.05
L1_5;Il est clair qu’il est de temps en temps nécessaire de se concentrer avec les collègues;Het is duidelijk dat het af en toe nodig is om met de collega’s te overleggen;3.79
L1_6;Il ressort d’une étude récente que le nombre de kots de luxe à augmenté;Het blijkt uit een recente studie dat het aantal luxekoten is gestegen;0.0
L1_7;Elle devra partager la cuisine;Ze zal de keuken moeten delen;4.54
L1_8;Si tu compares cette chambre avec les kots d’avant, le contraste est grand;Als je deze kamer met de kote, van vroeger vergelijkt, is het contrast groot;1.43
L1_9;Le prix des emballages dépend des matériaux dont ils sont faits;De prijs van de verpakkingen hangt af van de materialen waaruit ze gemaakt zijn;3.22
L1_10;La plupart des belges sont prêts à trier plus et à recycler;De meeste belgen zijn bereid om meer te sorteren en te recycleren;2.28
L1_11;Quand vont-ils décider si ce nouveau geste sera utilisé en langues des signes ?;Wanner gaan ze beslissen of dit nieuwe gebaar in gebarentaal gebruikt zal worden?;2.66
L1_12;Il est évident que tout le monde ne communique pas de la même façon;Het is vanzelfsprekend dat niet iedereen op dezelfde manier communiceert;3.19
L2_1;Tous les festivaliers devaient être partis pour midi;Alle festivalgangers moesten tegen twaalf uur vertrokken zijn;2.27
L2_2;Comme chaque année, beaucoup de trucs sont abandonnés sur le terrain;Zoals ieder jaar wordener een aantal spullen op het terrein achtergelaten;0.0
L2_3;Les festivaliers laissent aussi souvent leurs tentes;De festivalgangers laten ook dikwijls/vaak hun tenten achter;2.27
L2_4;Cela signifie beaucoup de déchets qui doivent être collectés;Dat betekent veel afval dat verzameld/ingezameld moet worden;4.09
L2_5;Une partie des objets est récupérée et donnée à une bonne œuvre;Een deel van de spullen wordt gerecupereerd en gegeven aan een goed doel;2.22
L2_6;Il est important de bien trier tous les déchets qui ont été ramassés;Het is belangrijk al het/ de afval dat/die ingezameld is goed te sorteren;5.29
L2_7;Leur intention est de louer aux festivaliers les affaires vendues par le magasin d'occasion;Hun bedoeling is de spullen die vroeger door de kringwinkel verkocht waren te verhuren;1.2
L2_8;Les magasins de seconde main embauchent des jeunes qui ont moins d’opportunités;De kringwinkels tewerkstellen jongeren die minder kansen krijgen;0.0
L2_9;Sais-tu s'il a trouvé ce travail grâce au projet d’embauche ?;Weet je of hij dit werk dankzij het tewerkstellingsproject heeft gevonden?;0.0
L2_10;La plupart des jeunes ont la possibilité d’apprendre des choses utiles pendant les vacances;De meeste jongeren hebben de mogelijkheid om tijdens de vakantie nuttige dingen te leren;3.75
L3_1;Je ne sais pas s'ils ont une proposition pour résoudre ce problème;Ik weet niet of ze een voorstel hebben om dit problem op te lossen;3.21
L3_2;Grâce à ce projet pilote, les gens seront récompensés;Dankzij dit proefproject zullen de mensen beloond worden;2.47
L3_3;Ce système est déjà appliqué avec succès dans ce pays;Dit project wordt in dat land al met succes toegepast;4.26
L3_4;Es-tu prêt à adapter ton comportement ?;Ben je bereid om je gedrag aan te passen;4.26
L3_5;Les files sont devenues plus courtes parce que les gens ont évité les heures de pointes;De files zijn korter geworden omdat de mensen het spitsuur hebben vermeden;2.59
