Langue;Mot;Traduction (Singulier / Pluriel);Pluriel NL;Statut
nl;de aandacht;l'attention / (pas de pluriel);-;Prioritaire
nl;het aandeel;la part / les parts ;de aandelen;Standard
nl;de aankomst;l'arrivée / les arrivées;de aankomsten;Prioritaire
nl;de aanleg;la disposition / les dispositions;-;Standard
nl;de aanleiding;l'occasion / les occasions;de aanleidingen;Prioritaire
nl;het aantal;le nombre / les nombres;de aantallen;Prioritaire
nl;het aanzien;le regard / les regards;-;Prioritaire
nl;de aard;la nature / les natures;-;Prioritaire
nl;de aardappel;la pomme de terre / les pommes de terre;de aardappelen;Prioritaire
nl;de aarde;la terre / (pas de pluriel);-;Prioritaire
nl;de afdeling;le rayon / les rayons;de afdelingen;Prioritaire
nl;de afstand;la distance / les distances;de afstanden;Prioritaire
nl;de afspraak;le rendez-vous / les rendez-vous;de afspraken;Prioritaire
nl;de afkomst;l'origine / les origines;-;Standard
nl;de angst;la peur / les peurs;de angsten;Prioritaire
nl;het antwoord;la réponse / les réponses;de antwoorden;Prioritaire
nl;de arbeid;le travail / les travaux;-;Prioritaire
nl;de arbeider;l'ouvrier / les ouvriers;de bakkers;Prioritaire
nl;de architect;l'architecte / les architectes;de architecten;Standard
nl;de arm;le bras / les bras;de armen;Prioritaire
nl;de armoede;la pauvreté / (pas de pluriel);-;Prioritaire
nl;de arts;le médecin / les médecins;de artsen;Prioritaire
nl;de auto;la voiture / les voitures;de auto's;Prioritaire
nl;de avond;le soir / les soirs;de avonden;Prioritaire
nl;de baan;l'emploi / les emplois;de banen;Prioritaire
nl;de baby;le bébé / les bébés;de baby's;Standard
nl;de achtergrond;l'arrière-plan / les arrière-plans;de achtergronden;Prioritaire
nl;de bakker;le boulanger / les boulangers;de bakkers;Prioritaire
nl;de bal;la balle / les balles;de ballen;Standard
nl;de band;le lien / les liens;de banden;Prioritaire
nl;de bank;la banque / les banques;de banken;Prioritaire
nl;de basis;la base / les bases;de bases;Prioritaire
nl;het bed;le lit / les lits;de bedden;Prioritaire
nl;het bedrag;le montant / les montants;de bedragen;Prioritaire
nl;het bedrijf;l'entreprise / les entreprises;de bedrijven;Prioritaire
nl;de beeld;l'image / les images;de beelden;Prioritaire
nl;het been;la jambe / les jambes;de benen;Prioritaire
nl;het begin;le début / les débuts;-;Prioritaire
nl;het cijfer;le chiffre / les chiffres;de cijfers;Prioritaire
nl;de cirkel;le cercle / les cercles;de cirkels;Standard
nl;de collega;le collègue / les collègues;de collega's;Prioritaire
nl;de combinatie;la combinaison / les combinaisons;de combinaties;Standard
nl;de commissie;la commission / les commissions;de commissies;Prioritaire
nl;de communicatie;la communication / (pas de pluriel);-;Prioritaire
nl;de computer;l'ordinateur / les ordinateurs;de computers;Prioritaire
nl;de conclusie;la conclusion / les conclusions;de conclusies;Prioritaire
nl;de concurrentie;la concurrence / (pas de pluriel);-;Prioritaire
nl;de conditie;la condition (forme) / les conditions;de condities;Standard
nl;het contact;le contact / les contacts;de contacten;Prioritaire
nl;het contract;le contrat / les contrats;de contracten;Prioritaire
nl;de controle;le contrôle / les contrôles;de controles;Prioritaire
nl;de crisis;la crise / les crises;de crisissen / crises;Prioritaire
nl;de cultuur;la culture / les cultures;de culturen;Prioritaire
nl;de cursus;le cours / les cours;de cursussen;Prioritaire
nl;de daad;l'acte / les actes;de daden;Prioritaire
nl;de dag;le jour / les jours;de dagen;Prioritaire
nl;het dak;le toit / les toits;de daken;Standard
nl;het dal;la vallée / les vallées;de dalen;Standard
nl;de dank;le remerciement / (pas de pluriel);-;Prioritaire
nl;het deel;la partie / les parties;de delen;Prioritaire
nl;de deelnemer;le participant / les participants;de deelnemers;Prioritaire
nl;de deur;la porte / les portes;de deuren;Prioritaire
nl;de dienst;le service / les services;de diensten;Prioritaire
nl;het dier;l'animal / les animaux;de dieren;Prioritaire
nl;het ding;la chose / les choses;de dingen;Prioritaire
nl;de directie;la direction / les directions;de directies;Prioritaire
nl;de discussie;la discussion / les discussions;de discussies;Prioritaire
nl;de doelstelling;l'objectif / les objectifs;de doelstellingen;Prioritaire
nl;het doel;le but / les buts;de doelen;Prioritaire
nl;de dokter;le docteur / les docteurs;de dokters;Prioritaire
nl;de dood;la mort / (pas de pluriel);-;Prioritaire
nl;de doorzetting;la persévérance / (pas de pluriel);-;Standard
nl;de doos;la boîte / les boîtes;de dozen;Standard
nl;het dorp;le village / les villages;de dorpen;Prioritaire
nl;de draad;le fil / les fils;de draden;Prioritaire
nl;de drank;la boisson / les boissons;de dranken;Prioritaire
nl;de drempel;le seuil / les seuils;de drempels;Prioritaire
nl;de droom;le rêve / les rêves;de dromen;Prioritaire
nl;de druk;la pression / (pas de pluriel);-;Prioritaire
nl;het dubbeltje;la pièce de 10 cents / les pièces;de dubbeltjes;Standard
nl;de duur;la durée / (pas de pluriel);-;Prioritaire
nl;de dwerg;le nain / les nains;de dwergen;Standard
nl;de echt;le mariage / (pas de pluriel);-;Standard
nl;de economie;l'économie / les économies;de economieën;Prioritaire
nl;de eenheid;l'unité / les unités;de eenheden;Prioritaire
nl;de eeuw;le siècle / les siècles;de eeuwen;Prioritaire
nl;het effect;l'effet / les effets;de effecten;Prioritaire
nl;het ei;l'oeuf / les oeufs;de eieren;Standard
nl;de eigenheid;l'originalité / (pas de pluriel);-;Standard
nl;het eiland;l'île / les îles;de eilanden;Prioritaire
nl;de eis;l'exigence / les exigences;de eisen;Prioritaire
nl;het einde;la fin / les fins;de einden / eindes;Prioritaire
nl;de ervaring;l'expérience / les expériences;de ervaringen;Prioritaire
nl;de fabriek;la fabrique / les fabriques;de fabrieken;Prioritaire
nl;het feit;le fait / les faits;de feiten;Prioritaire
nl;de fiets;le vélo / les vélos;de fietsen;Prioritaire
nl;de figuur;la figure / les figures;de figuren;Prioritaire
nl;de film;le film / les films;de films;Prioritaire
nl;de fles;la bouteille / les bouteilles;de flessen;Prioritaire
nl;de fout;la faute / les fautes;de fouten;Prioritaire
nl;de functie;la fonction / les fonctions;de functies;Prioritaire
nl;de garantie;la garantie / les garanties;de garanties;Standard
nl;het gat;le trou / les trous;de gaten;Prioritaire
nl;het gebied;le domaine (territoire) / les domaines;de gebieden;Prioritaire
nl;het gebouw;le bâtiment / les bâtiments;de gebouwen;Prioritaire
nl;het gebruik;l'usage / les usages;de gebruiken;Prioritaire
nl;de geboorte;la naissance / les naissances;de geboorten / geboortes;Prioritaire
nl;het gedrag;le comportement / (pas de pluriel);-;Prioritaire
nl;de gedachte;la pensée / les pensées;de gedachten;Prioritaire
nl;het gedeelte;la partie / les parties;de gedeelten / gedeeltes;Prioritaire
nl;het gedicht;le poème / les poèmes;de gedichten;Standard
nl;de geest;l'esprit / les esprits;de geesten;Prioritaire
nl;het gegeven;la donnée / les données;de gegevens;Prioritaire
nl;het geheel;l'ensemble / les ensembles;de gehelen;Prioritaire
nl;het geheim;le secret / les secrets;de geheimen;Prioritaire
nl;het geheugen;la mémoire / les mémoires;de geheugens;Prioritaire
nl;het geluk;le bonheur / (pas de pluriel);-;Prioritaire
nl;het geluid;le son / les sons;de geluiden;Prioritaire
nl;het geld;l'argent / (pas de pluriel);-;Prioritaire
nl;de gelegenheid;l'occasion / les occasions;de gelegenheden;Prioritaire
nl;het gelijk;le droit (avoir raison) / (pas de pluriel);-;Prioritaire
nl;de gelovige;le croyant / les croyants;de gelovigen;Standard
nl;de gemeente;la commune / les communes;de gemeenten / gemeentes;Prioritaire
