id;fr;nl;freq
NOMS_NL_0;l'attention / (pas de pluriel);de aandacht;5.24
NOMS_NL_1;la part / les parts;het aandeel;4.23
NOMS_NL_2;l'arrivée / les arrivées;de aankomst;4.2
NOMS_NL_3;la disposition / les dispositions;de aanleg;4.3
NOMS_NL_4;l'occasion / les occasions;de aanleiding;4.66
NOMS_NL_5;le nombre / les nombres;het aantal;5.74
NOMS_NL_6;le regard / les regards;het aanzien;4.22
NOMS_NL_7;la nature / les natures;de aard;4.39
NOMS_NL_8;la pomme de terre / les pommes de terre;de aardappel;3.65
NOMS_NL_9;la terre / (pas de pluriel);de aarde;4.96
NOMS_NL_10;le rayon / les rayons;de afdeling;4.8
NOMS_NL_11;la distance / les distances;de afstand;4.92
NOMS_NL_12;le rendez-vous / les rendez-vous;de afspraak;4.77
NOMS_NL_13;l'origine / les origines;de afkomst;4.36
NOMS_NL_14;la peur / les peurs;de angst;4.83
NOMS_NL_15;la réponse / les réponses;het antwoord;5.15
NOMS_NL_16;le travail / les travaux;de arbeid;4.27
NOMS_NL_17;l'ouvrier / les ouvriers;de arbeider;3.66
NOMS_NL_18;l'architecte / les architectes;de architect;4.23
NOMS_NL_19;le bras / les bras;de arm;4.67
NOMS_NL_20;la pauvreté / (pas de pluriel);de armoede;4.39
NOMS_NL_21;le médecin / les médecins;de arts;4.73
NOMS_NL_22;la voiture / les voitures;de auto;5.48
NOMS_NL_23;le soir / les soirs;de avond;5.2
NOMS_NL_24;l'emploi / les emplois;de baan;5.05
NOMS_NL_25;le bébé / les bébés;de baby;4.9
NOMS_NL_26;l'arrière-plan / les arrière-plans;de achtergrond;4.82
NOMS_NL_27;le boulanger / les boulangers;de bakker;4.26
NOMS_NL_28;la balle / les balles;de bal;4.74
NOMS_NL_29;le lien / les liens;de band;4.96
NOMS_NL_30;la banque / les banques;de bank;5.04
NOMS_NL_31;la base / les bases;de basis;5.17
NOMS_NL_32;le lit / les lits;het bed;5.13
NOMS_NL_33;le montant / les montants;het bedrag;4.48
NOMS_NL_34;l'entreprise / les entreprises;het bedrijf;5.23
NOMS_NL_35;l'image / les images;de beeld;5.13
NOMS_NL_36;la jambe / les jambes;het been;4.57
NOMS_NL_37;le début / les débuts;het begin;5.42
NOMS_NL_38;le chiffre / les chiffres;het cijfer;4.1
NOMS_NL_39;le cercle / les cercles;de cirkel;4.17
NOMS_NL_40;le collègue / les collègues;de collega;4.62
NOMS_NL_41;la combinaison / les combinaisons;de combinatie;4.7
NOMS_NL_42;la commission / les commissions;de commissie;4.81
NOMS_NL_43;la communication / (pas de pluriel);de communicatie;4.71
NOMS_NL_44;l'ordinateur / les ordinateurs;de computer;4.68
NOMS_NL_45;la conclusion / les conclusions;de conclusie;4.44
NOMS_NL_46;la concurrence / (pas de pluriel);de concurrentie;4.26
NOMS_NL_47;la condition (forme) / les conditions;de conditie;3.97
NOMS_NL_48;le contact / les contacts;het contact;5.21
NOMS_NL_49;le contrat / les contrats;het contract;4.72
NOMS_NL_50;le contrôle / les contrôles;de controle;4.97
NOMS_NL_51;la crise / les crises;de crisis;4.6
NOMS_NL_52;la culture / les cultures;de cultuur;5.0
NOMS_NL_53;le cours / les cours;de cursus;4.42
NOMS_NL_54;l'acte / les actes;de daad;4.19
NOMS_NL_55;le jour / les jours;de dag;5.98
NOMS_NL_56;le toit / les toits;het dak;4.79
NOMS_NL_57;la vallée / les vallées;het dal;3.88
NOMS_NL_58;le remerciement / (pas de pluriel);de dank;5.35
NOMS_NL_59;la partie / les parties;het deel;5.72
NOMS_NL_60;le participant / les participants;de deelnemer;4.28
NOMS_NL_61;la porte / les portes;de deur;4.95
NOMS_NL_62;le service / les services;de dienst;5.13
NOMS_NL_63;l'animal / les animaux;het dier;4.57
NOMS_NL_64;la chose / les choses;het ding;4.86
NOMS_NL_65;la direction / les directions;de directie;3.99
NOMS_NL_66;la discussion / les discussions;de discussie;4.74
NOMS_NL_67;l'objectif / les objectifs;de doelstelling;3.98
NOMS_NL_68;le but / les buts;het doel;5.2
NOMS_NL_69;le docteur / les docteurs;de dokter;4.51
NOMS_NL_70;la mort / (pas de pluriel);de dood;5.57
NOMS_NL_71;la persévérance / (pas de pluriel);de doorzetting;1.68
NOMS_NL_72;la boîte / les boîtes;de doos;4.36
NOMS_NL_73;le village / les villages;het dorp;5.07
NOMS_NL_74;le fil / les fils;de draad;4.07
NOMS_NL_75;la boisson / les boissons;de drank;4.34
NOMS_NL_76;le seuil / les seuils;de drempel;3.68
NOMS_NL_77;le rêve / les rêves;de droom;4.72
NOMS_NL_78;la pression / (pas de pluriel);de druk;5.34
NOMS_NL_79;la pièce de 10 cents / les pièces;het dubbeltje;3.04
