Langue;Mot;Traduction;Conjugaison;Statut;Frequence
nl;aanbieden;offrir / proposer;bood aan, aangeboden;Prioritaire;4.44
nl;aanhouden;arrêter / maintenir;hield aan, aangehouden;Standard;3.81
nl;aankomen;arriver;kwam aan, aangekomen;Prioritaire;4.3
nl;aanmelden;annoncer / s'inscrire;melde aan, aangemeld;Standard;4.34
nl;aannemen;accepter / engager;nam aan, aangenomen;Prioritaire;4.28
nl;aansluiten;raccorder / s'affilier;sloot aan, aangesloten;Standard;4.07
nl;aantonen;démontrer / prouver;toonde aan, aangetoond;Prioritaire;3.8
nl;aanvaarden;accepter;aanvaardde, aanvaard;Prioritaire;3.94
nl;aanwezig zijn;être présent;was aanwezig, aanwezig geweest;Prioritaire;5.09
nl;aarzelen;hésiter;aarzelde, geaarzeld;Prioritaire;3.19
nl;ademen;respirer;ademde, geademd;Prioritaire;3.9
nl;afhangen (van);dépendre (de);hing af, afgehangen;Standard;3.23
nl;afleggen;déposer / passer (un examen);legde af, afgelegd;Prioritaire;3.98
nl;afnemen;diminuer / prélever;nam af, afgenomen;Prioritaire;4.06
nl;afsluiten;fermer / conclure;sloot af, afgesloten;Prioritaire;4.31
nl;antwoorden;répondre;antwoordde, geantwoord;Prioritaire;4.64
nl;arbeiden;travailler;arbeidde, gearbeid;Standard;1.82
nl;aanbieden;offrir / proposer;bood aan, aangeboden;Prioritaire;4.44
nl;aanhouden;arrêter / maintenir;hield aan, aangehouden;Standard;3.81
nl;aankomen;arriver;kwam aan, aangekomen;Prioritaire;4.3
nl;aanmelden;annoncer / s'inscrire;melde aan, aangemeld;Standard;4.34
nl;aannemen;accepter / engager;nam aan, aannenomen;Prioritaire;4.28
nl;aansluiten;raccorder / s'affilier;sloot aan, aangesloten;Standard;4.07
nl;aantonen;démontrer / prouver;toonde aan, aangetoond;Prioritaire;3.8
nl;aanvaarden;accepter;aanvaardde, aanvaard;Prioritaire;3.94
nl;aanwezig zijn;être présent;was aanwezig, aanwezig geweest;Prioritaire;5.09
nl;aarzelen;hésiter;aarzelde, geaarzeld;Prioritaire;3.19
nl;ademen;respirer;ademde, geademd;Prioritaire;3.9
nl;afhangen (van);dépendre (de);hing af, afgehangen;Standard;3.23
nl;afleggen;déposer / passer (un examen);legde af, afgelegd;Prioritaire;3.98
nl;afnemen;diminuer / prélever;nam af, afgenomen;Prioritaire;4.06
nl;afsluiten;fermer / conclure;sloot af, afgesloten;Prioritaire;4.31
nl;antwoorden;répondre;antwoordde, geantwoord;Prioritaire;4.64
nl;arbeiden;travailler;arbeidde, gearbeid;Standard;1.82
nl;bakken;cuire;bakte, gebakken;Prioritaire;4.21
nl;bedragen;s'élever à (montant);bedroeg, bedragen;Prioritaire;3.86
nl;bedoelen;vouloir dire / viser;bedoelde, bedoeld;Prioritaire;3.83
nl;beginnen;commencer;begon, begonnen;Prioritaire;5.33
nl;begrijpen;comprendre;begreep, begrepen;Prioritaire;4.96
nl;behandelen;traiter / manipuler;behandelde, behandeld;Prioritaire;4.53
nl;beheren;gérer;beheerde, beheerd;Prioritaire;3.91
nl;behoren (tot);appartenir (à);behoorde, behoord;Prioritaire;4.5
nl;bekijken;regarder / examiner;bekeek, bekeken;Prioritaire;4.84
nl;bekritiseren;critiquer;bekritiseerde, bekritiseerd;Standard;3.26
nl;belangstellen (in);s'intéresser (à);stelde belang, belanggesteld;Standard;0.0
nl;beloven;promettre;beloofde, beloofd;Prioritaire;3.94
nl;benemen;priver de / couper;benam, benomen;Standard;1.99
nl;beoordelen;juger / évaluer;beoordeelde, beoordeeld;Prioritaire;4.16
nl;bepalen;déterminer;bepaalde, bepaald;Prioritaire;4.65
nl;beperken (zich);se limiter;beperkte, beperkt;Prioritaire;4.26
nl;beschouwen;considérer;beschouwde, beschouwd;Prioritaire;4.07
nl;beschrijven;décrire;beschreef, beschreven;Prioritaire;4.2
nl;besluiten;décider / conclure;besloot, besloten;Prioritaire;4.3
nl;bestaan;exister;bestond, bestaan;Prioritaire;5.16
nl;besteden;consacrer (temps, argent);besteedde, besteed;Prioritaire;4.32
nl;bestellen;commander;bestelde, besteld;Prioritaire;4.56
nl;betekenen;signifier;betekende, betekend;Prioritaire;4.64
nl;betreffen;concerner;betrof, betroffen;Prioritaire;3.59
nl;betrouwen;avoir confiance;betrouwde, betrouwd;Standard;1.8
nl;bevatten;contenir;bevatte, bevat;Prioritaire;4.52
nl;bevestigen;confirmer;bevestigde, bevestigd;Prioritaire;4.3
nl;bevinden (zich);se trouver;bevond zich, bevonden;Prioritaire;4.49
nl;bewaren;conserver / garder;bewaarde, bewaard;Prioritaire;4.3
nl;bewegen;bouger;bewoog, bewogen;Prioritaire;4.57
nl;bewijzen;prouver;bewees, bewezen;Prioritaire;4.65
nl;bezitten;posséder;bezat, bezeten;Prioritaire;4.04
nl;bezoeken;visiter;bezocht, bezocht;Prioritaire;4.76
nl;bezuinigen;économiser;bezuinigde, bezuinigd;Standard;3.4
nl;bidden;prier;bad, gebeden;Standard;4.33
nl;bieden;offrir;bood, geboden;Prioritaire;4.95
nl;bijten;mordre;beet, gebeten;Standard;3.86
nl;binden;lier / attacher;bond, gebonden;Prioritaire;3.88
nl;blijken;apparaître / s'avérer;bleek, gebleken;Prioritaire;4.39
nl;blijven;rester;bleef, gebleven;Prioritaire;5.66
nl;bloeien;fleurir;bloeide, gebloeid;Standard;3.48
nl;boeken;réserver / enregistrer;boekte, geboekt;Standard;5.14
nl;bouwen;bâtir / construire;bouwde, gebouwd;Prioritaire;4.95
nl;branden;brûler;brandde, gebrand;Prioritaire;4.32
nl;breken;casser;brak, gebroken;Prioritaire;4.45
nl;brengen;apporter / amener;bracht, gebracht;Prioritaire;5.39
nl;buigen;courber / plier;boog, gebogen;Prioritaire;3.86
nl;checken;vérifier;checkte, gecheckt;Standard;3.98
nl;concluderen;conclure;concludeerde, geconcludeerd;Standard;3.5
nl;controleren;contrôler;controleerde, gecontroleerd;Prioritaire;4.61
nl;creëren;créer;creëerde, gecreëerd;Standard;4.58
nl;dansen;danser;danste, gedanst;Prioritaire;4.69
nl;danken;remercier;dankte, gedankt;Prioritaire;4.26
nl;deelnemen (aan);participer (à);nam deel, deelgenomen;Prioritaire;4.4
nl;delen;partager / diviser;deelde, gedeeld;Prioritaire;5.29
nl;denken;penser;dacht, gedacht;Prioritaire;5.5
nl;dienen;servir;diende, gediend;Prioritaire;4.69
nl;doen;faire;deed, gedaan;Prioritaire;6.13
nl;doorgaan;continuer;ging door, doorgegaan;Prioritaire;4.61
nl;doorlopen;parcourir / continuer;liep door, doorgelopen;Standard;4.02
nl;dragen;porter;droeg, gedragen;Prioritaire;5.01
nl;drijven;flotter / pousser;dreef, gedreven;Prioritaire;4.05
nl;drinken;boire;dronk, gedronken;Prioritaire;4.93
nl;dromen;rêver;droomde, gedroomd;Prioritaire;4.73
nl;drukken;appuyer / presser;drukte, gedrukt;Prioritaire;4.39
nl;durven;oser;durfde, gedurfd;Prioritaire;4.32
nl;duren;durer;duurde, geduurd;Prioritaire;4.62
nl;dwingen;forcer / contraindre;dwong, gedwongen;Prioritaire;4.18
nl;eisen;exiger;eiste, geëist;Prioritaire;4.77
nl;eindigen;finir / se terminer;eindigde, geëindigd;Prioritaire;4.19
nl;ervaren;expérimenter / ressentir;ervoer, ervaren;Prioritaire;4.71
nl;eten;manger;at, gegeten;Prioritaire;5.51
nl;fietsen;faire du vélo;fietste, gefietst;Standard;4.6
nl;gaan;aller;ging, gegaan;Prioritaire;6.18
nl;gebruiken;utiliser;gebruikte, gebruikt;Prioritaire;5.47
nl;gebeuren;se passer / arriver;gebeurde, gebeurd;Prioritaire;5.03
nl;geloven;croire;geloofde, geloofd;Prioritaire;4.99
nl;gelden;valoir / être d'application;gold, gegolden;Prioritaire;4.29
nl;genieten (van);profiter / jouir (de);genoot, genoten;Prioritaire;4.99
nl;geven;donner;gaf, gegeven;Prioritaire;5.75
nl;gieten;verser;goot, gegoten;Standard;3.6
nl;glijden;glisser;gleed, gegleden;Standard;3.58
nl;gooien;jeter;gooide, gegooid;Prioritaire;4.61
nl;grijpen;saisir;greep, gegrepen;Prioritaire;4.15
nl;groeien;grandir / croître;groeide, gegroeid;Prioritaire;4.63
nl;groeten;saluer;groette, gegroet;Prioritaire;4.23
nl;halen;chercher / obtenir;haalde, gehaald;Prioritaire;5.32
nl;hangen;pendre / être accroché;hing, gehangen;Prioritaire;4.69
nl;hebben;avoir;had, gehad;Prioritaire;6.49
nl;helpen;aider;hielp, geholpen;Prioritaire;5.5
nl;herinneren (zich);se souvenir;herinnerde, herinnerd;Prioritaire;4.63
nl;herstellen;réparer / se rétablir;herstelde, hersteld;Prioritaire;4.5
nl;heten;s'appeler;heette, geheten;Prioritaire;4.25
nl;houden;tenir / garder;hield, gehouden;Prioritaire;5.67
nl;horen;entendre;hoorde, gehoord;Prioritaire;5.38
nl;hopen;espérer;hoopte, gehoopt;Prioritaire;4.9
nl;huren;louer (prendre en location);huurde, gehuurd;Prioritaire;4.19
nl;indienen;déposer / présenter;diende in, ingediend;Standard;4.08
nl;informeren;informer;informeerde, geïnformeerd;Prioritaire;4.31
nl;ingaan;entrer / accepter;ging in, ingegaan;Standard;4.03
nl;inhouden;contenir / retenir;hield in, ingehouden;Prioritaire;3.8
nl;inrichten;aménager / organiser;richtte in, ingericht;Prioritaire;3.58
nl;instellen;établir / régler;stelde in, ingesteld;Prioritaire;4.1
nl;invoeren;introduire / importer;voerde in, ingevoerd;Prioritaire;3.98
nl;invullen;remplir (formulaire);vulde in, ingevuld;Prioritaire;4.08
nl;inzien;comprendre / consulter;zag in, ingezien;Standard;4.12
nl;jagen;chasser;jaagde / joeg, gejaagd;Standard;4.16
nl;juichen;pousser des cris de joie;juichte, gejuicht;Standard;3.79
nl;kaarten;jouer aux cartes;kaartte, gekaart;Standard;4.71
nl;kamperen;camper;kampeerde, gekampeerd;Standard;3.92
nl;kennen;connaître;kende, gekend;Prioritaire;5.08
nl;keren;tourner / retourner;keerde, gekeerd;Prioritaire;4.8
nl;kiezen;choisir;koos, gekozen;Prioritaire;5.07
nl;kijken;regarder;keek, gekeken;Prioritaire;5.58
nl;klagen;se plaindre;klaagde, geklaagd;Prioritaire;4.46
nl;kleden;habiller;kleedde, gekleed;Prioritaire;3.74
nl;klimmen;grimper;klom, geklommen;Prioritaire;4.03
nl;kloppen;frapper / battre;klopte, geklopt;Prioritaire;4.22
nl;koken;cuisiner / bouillir;kookte, gekookt;Prioritaire;4.6
nl;komen;venir;kwam, gekomen;Prioritaire;5.95
nl;kopen;acheter;kocht, gekocht;Prioritaire;5.21
nl;kosten;coûter;kostte, gekost;Prioritaire;4.94
nl;krijgen;recevoir;kreeg, gekregen;Prioritaire;5.72
nl;kruisen;croiser;kruiste, gekruist;Standard;3.53
nl;kunnen;pouvoir (capacité);kon, gekund;Prioritaire;6.26
nl;kussen;embrasser;kuste, gekust;Standard;4.27
