Langue;Mot;Traduction (Singulier / Pluriel);Pluriel NL;Statut;Frequence
nl;de aandacht;l'attention / (pas de pluriel);-;Prioritaire;5.24
nl;het aandeel;la part / les parts ;de aandelen;Standard;4.23
nl;de aankomst;l'arrivée / les arrivées;de aankomsten;Prioritaire;4.2
nl;de aanleg;la disposition / les dispositions;-;Standard;4.3
nl;de aanleiding;l'occasion / les occasions;de aanleidingen;Prioritaire;4.66
nl;het aantal;le nombre / les nombres;de aantallen;Prioritaire;5.74
nl;het aanzien;le regard / les regards;-;Prioritaire;4.22
nl;de aard;la nature / les natures;-;Prioritaire;4.39
nl;de aardappel;la pomme de terre / les pommes de terre;de aardappelen;Prioritaire;3.65
nl;de aarde;la terre / (pas de pluriel);-;Prioritaire;4.96
nl;de afdeling;le rayon / les rayons;de afdelingen;Prioritaire;4.8
nl;de afstand;la distance / les distances;de afstanden;Prioritaire;4.92
nl;de afspraak;le rendez-vous / les rendez-vous;de afspraken;Prioritaire;4.77
nl;de afkomst;l'origine / les origines;-;Standard;4.36
nl;de angst;la peur / les peurs;de angsten;Prioritaire;4.83
nl;het antwoord;la réponse / les réponses;de antwoorden;Prioritaire;5.15
nl;de arbeid;le travail / les travaux;-;Prioritaire;4.27
nl;de arbeider;l'ouvrier / les ouvriers;de bakkers;Prioritaire;3.66
nl;de architect;l'architecte / les architectes;de architecten;Standard;4.23
nl;de arm;le bras / les bras;de armen;Prioritaire;4.67
nl;de armoede;la pauvreté / (pas de pluriel);-;Prioritaire;4.39
nl;de arts;le médecin / les médecins;de artsen;Prioritaire;4.73
nl;de auto;la voiture / les voitures;de auto's;Prioritaire;5.48
nl;de avond;le soir / les soirs;de avonden;Prioritaire;5.2
nl;de baan;l'emploi / les emplois;de banen;Prioritaire;5.05
nl;de baby;le bébé / les bébés;de baby's;Standard;4.9
nl;de achtergrond;l'arrière-plan / les arrière-plans;de achtergronden;Prioritaire;4.82
nl;de bakker;le boulanger / les boulangers;de bakkers;Prioritaire;4.26
nl;de bal;la balle / les balles;de ballen;Standard;4.74
nl;de band;le lien / les liens;de banden;Prioritaire;4.96
nl;de bank;la banque / les banques;de banken;Prioritaire;5.04
nl;de basis;la base / les bases;de bases;Prioritaire;5.17
nl;het bed;le lit / les lits;de bedden;Prioritaire;5.13
nl;het bedrag;le montant / les montants;de bedragen;Prioritaire;4.48
nl;het bedrijf;l'entreprise / les entreprises;de bedrijven;Prioritaire;5.23
nl;de beeld;l'image / les images;de beelden;Prioritaire;5.13
nl;het been;la jambe / les jambes;de benen;Prioritaire;4.57
nl;het begin;le début / les débuts;-;Prioritaire;5.42
nl;het cijfer;le chiffre / les chiffres;de cijfers;Prioritaire;4.1
nl;de cirkel;le cercle / les cercles;de cirkels;Standard;4.17
nl;de collega;le collègue / les collègues;de collega's;Prioritaire;4.62
nl;de combinatie;la combinaison / les combinaisons;de combinaties;Standard;4.7
nl;de commissie;la commission / les commissions;de commissies;Prioritaire;4.81
nl;de communicatie;la communication / (pas de pluriel);-;Prioritaire;4.71
nl;de computer;l'ordinateur / les ordinateurs;de computers;Prioritaire;4.68
nl;de conclusie;la conclusion / les conclusions;de conclusies;Prioritaire;4.44
nl;de concurrentie;la concurrence / (pas de pluriel);-;Prioritaire;4.26
nl;de conditie;la condition (forme) / les conditions;de condities;Standard;3.97
nl;het contact;le contact / les contacts;de contacten;Prioritaire;5.21
nl;het contract;le contrat / les contrats;de contracten;Prioritaire;4.72
nl;de controle;le contrôle / les contrôles;de controles;Prioritaire;4.97
nl;de crisis;la crise / les crises;de crisissen / crises;Prioritaire;4.6
nl;de cultuur;la culture / les cultures;de culturen;Prioritaire;5.0
nl;de cursus;le cours / les cours;de cursussen;Prioritaire;4.42
nl;de daad;l'acte / les actes;de daden;Prioritaire;4.19
nl;de dag;le jour / les jours;de dagen;Prioritaire;5.98
nl;het dak;le toit / les toits;de daken;Standard;4.79
nl;het dal;la vallée / les vallées;de dalen;Standard;3.88
nl;de dank;le remerciement / (pas de pluriel);-;Prioritaire;5.35
nl;het deel;la partie / les parties;de delen;Prioritaire;5.72
nl;de deelnemer;le participant / les participants;de deelnemers;Prioritaire;4.28
nl;de deur;la porte / les portes;de deuren;Prioritaire;4.95
nl;de dienst;le service / les services;de diensten;Prioritaire;5.13
nl;het dier;l'animal / les animaux;de dieren;Prioritaire;4.57
nl;het ding;la chose / les choses;de dingen;Prioritaire;4.86
nl;de directie;la direction / les directions;de directies;Prioritaire;3.99
nl;de discussie;la discussion / les discussions;de discussies;Prioritaire;4.74
nl;de doelstelling;l'objectif / les objectifs;de doelstellingen;Prioritaire;3.98
nl;het doel;le but / les buts;de doelen;Prioritaire;5.2
nl;de dokter;le docteur / les docteurs;de dokters;Prioritaire;4.51
nl;de dood;la mort / (pas de pluriel);-;Prioritaire;5.57
nl;de doorzetting;la persévérance / (pas de pluriel);-;Standard;1.68
nl;de doos;la boîte / les boîtes;de dozen;Standard;4.36
nl;het dorp;le village / les villages;de dorpen;Prioritaire;5.07
nl;de draad;le fil / les fils;de draden;Prioritaire;4.07
nl;de drank;la boisson / les boissons;de dranken;Prioritaire;4.34
nl;de drempel;le seuil / les seuils;de drempels;Prioritaire;3.68
nl;de droom;le rêve / les rêves;de dromen;Prioritaire;4.72
nl;de druk;la pression / (pas de pluriel);-;Prioritaire;5.34
nl;het dubbeltje;la pièce de 10 cents / les pièces;de dubbeltjes;Standard;3.04
nl;de duur;la durée / (pas de pluriel);-;Prioritaire;4.71
nl;de dwerg;le nain / les nains;de dwergen;Standard;3.64
nl;de echt;le mariage / (pas de pluriel);-;Standard;6.0
nl;de economie;l'économie / les économies;de economieën;Prioritaire;5.0
nl;de eenheid;l'unité / les unités;de eenheden;Prioritaire;4.66
nl;de eeuw;le siècle / les siècles;de eeuwen;Prioritaire;4.96
nl;het effect;l'effet / les effets;de effecten;Prioritaire;4.68
nl;het ei;l'oeuf / les oeufs;de eieren;Standard;4.32
nl;de eigenheid;l'originalité / (pas de pluriel);-;Standard;2.74
nl;het eiland;l'île / les îles;de eilanden;Prioritaire;5.1
nl;de eis;l'exigence / les exigences;de eisen;Prioritaire;4.13
nl;het einde;la fin / les fins;de einden / eindes;Prioritaire;5.28
nl;de ervaring;l'expérience / les expériences;de ervaringen;Prioritaire;4.95
nl;de fabriek;la fabrique / les fabriques;de fabrieken;Prioritaire;4.36
nl;het feit;le fait / les faits;de feiten;Prioritaire;5.02
nl;de fiets;le vélo / les vélos;de fietsen;Prioritaire;4.77
nl;de figuur;la figure / les figures;de figuren;Prioritaire;4.4
nl;de film;le film / les films;de films;Prioritaire;5.47
nl;de fles;la bouteille / les bouteilles;de flessen;Prioritaire;4.34
nl;de fout;la faute / les fautes;de fouten;Prioritaire;4.99
nl;de functie;la fonction / les fonctions;de functies;Prioritaire;4.92
nl;de garantie;la garantie / les garanties;de garanties;Standard;4.07
nl;het gat;le trou / les trous;de gaten;Prioritaire;4.49
