id;fr_a_completer;nl;freq
MOTS_OUTILS_NL_0;le / la;de;7.73
MOTS_OUTILS_NL_1;de;van;7.51
MOTS_OUTILS_NL_2;le (neutre);het;7.49
MOTS_OUTILS_NL_3;un / une;een;7.41
MOTS_OUTILS_NL_4;et;en;7.4
MOTS_OUTILS_NL_5;dans;in;7.36
MOTS_OUTILS_NL_6;sur;op;7.12
MOTS_OUTILS_NL_7;je;ik;7.11
MOTS_OUTILS_NL_8;que / cela;dat;7.1
MOTS_OUTILS_NL_9;pour;voor;7.05
MOTS_OUTILS_NL_10;tu;je;7.04
MOTS_OUTILS_NL_11;à / trop;te;7.02
MOTS_OUTILS_NL_12;avec;met;7.0
MOTS_OUTILS_NL_13;celui-ci / qui;die;6.9
MOTS_OUTILS_NL_14;si / comme;als;6.8
MOTS_OUTILS_NL_15;mais;maar;6.77
MOTS_OUTILS_NL_16;pour / autour de;om;6.77
MOTS_OUTILS_NL_17;à;aan;6.76
MOTS_OUTILS_NL_18;il;hij;6.7
MOTS_OUTILS_NL_19;elle / ils/elles;ze;6.69
MOTS_OUTILS_NL_20;par / à travers;door;6.66
MOTS_OUTILS_NL_21;vers;naar;6.65
MOTS_OUTILS_NL_22;hors de;uit;6.65
MOTS_OUTILS_NL_23;chez / auprès de;bij;6.62
MOTS_OUTILS_NL_24;alors / que (comparaison);dan;6.62
MOTS_OUTILS_NL_25;ceci;dit;6.61
MOTS_OUTILS_NL_26;nous;we;6.6
MOTS_OUTILS_NL_27;quoi / ce que;wat;6.58
MOTS_OUTILS_NL_28;ou / si;of;6.54
MOTS_OUTILS_NL_29;sur / à propos de;over;6.54
MOTS_OUTILS_NL_30;celui-ci/celle-ci;deze;6.51
MOTS_OUTILS_NL_31;aucun(e);geen;6.42
MOTS_OUTILS_NL_32;mon / ma;mijn;6.41
MOTS_OUTILS_NL_33;jusqu'à;tot;6.39
MOTS_OUTILS_NL_34;vous (formel);u;6.39
MOTS_OUTILS_NL_35;elle / son (féminin);haar;6.3
MOTS_OUTILS_NL_36;beaucoup;veel;6.26
MOTS_OUTILS_NL_37;me / moi;me;6.25
MOTS_OUTILS_NL_38;après;na;6.21
MOTS_OUTILS_NL_39;notre / nous;ons;6.21
MOTS_OUTILS_NL_40;notre;onze;6.18
MOTS_OUTILS_NL_41;se (réfléchi);zich;6.17
MOTS_OUTILS_NL_42;contre;tegen;6.11
MOTS_OUTILS_NL_43;moi;mij;6.08
MOTS_OUTILS_NL_44;sous;onder;6.08
MOTS_OUTILS_NL_45;leur / eux;hun;6.07
MOTS_OUTILS_NL_46;tu;jij;6.03
MOTS_OUTILS_NL_47;nous;wij;6.02
MOTS_OUTILS_NL_48;avec (soi);mee;5.99
MOTS_OUTILS_NL_49;tous/toutes;alle;5.97
