id;fr;nl
W1;l'employeur;werkgever
W2;convaincu;overtuigd
W3;télétravail;telewerken
W4;compatible / adapté;geschikt
W5;l'avantage;voordeel
W6;stressant;stresserend
W7;consulter / se concerter;overleggen
W8;le logement étudiant (kot);kot
W9;augmenter;stijgen
W10;partager;delen
W11;comparer;vergelijken
W12;l'emballage;verpakking
W13;trier;sorteren
W14;recycler;recycleren
W15;le geste;gebaar
W16;évidemment;vanzelfsprekend
W17;abandonner / laisser derrière;achterlaten
W18;les déchets;afval
W19;récupérer;gerecupereerd
W20;une bonne œuvre / cause;goed doel
W21;louer (donner en location);verhuren
W22;le magasin de seconde main;kringwinkel
W23;embaucher / mettre au travail;tewerkstellen
W24;opportunité / chance;kans
W25;utile;nuttig
W26;résoudre;oplossen
W27;récompenser;belonen
W28;adapter;aanpassen
W29;le comportement;gedrag
W30;éviter;vermijden
W31;l'heure de pointe;spitsuur
W32;l'embouteillage;file
W33;se plaindre;klagen
W34;nuisance sonore;geluidoverlast
W35;s'habituer à;wennen
W36;élargir / étendre;uitbreiden
W37;le navetteur;pendelaar
W38;pur / propre;zuiver
W39;sain;gezond
W40;diminuer;dalen
W41;exigeant;veeleisend
W42;le racisme;racisme
W43;la comptabilité;boekhouding
W44;l'impôt;belasting
W45;le bénéfice;winst
